Vehicle_ID,Total_Telemetry,Vibration_Anomalies,Gyro_Anomalies,Mean_Z_Deviation,Z_Deviation_Std,Gyro_Magnitude_Mean,Gyro_Magnitude_Std,Manufacture_Year,Last_Service_Date,Odometer_KM,Make,Model,Vibration_Anomaly_Rate,Gyro_Anomaly_Rate,Days_Since_Last_Service,Vehicle_Age_Years,Vibration_Score,Gyro_Score,Variability_Score,Health_Risk_Score,Health_Category
V02,443,41,32,0.09165462753950339,0.1373552727263573,4.920701839504988,6.963669307509829,2021,2026-05-06,46601,TVS,Raider,9.255079006772009,7.223476297968396,92,5,100.0,100.0,100.0,100.0,Maintenance Review
V19,374,12,27,0.051168449197860955,0.10516442363840128,5.2842491403712994,8.68881053299642,2021,2026-06-19,17247,TVS,Ntorq,3.2085561497326207,7.219251336898395,48,5,96.66666666666667,96.66666666666667,96.66666666666667,96.67,Maintenance Review
V23,555,13,39,0.04861981981981982,0.07957884156758151,5.574218260333407,9.360922333980737,2021,2026-06-16,17821,Suzuki,Access,2.3423423423423424,7.027027027027027,51,5,90.0,93.33333333333333,86.66666666666667,90.17,Maintenance Review
V25,439,11,25,0.04911845102505694,0.0826387285315,5.151539500950379,8.14172790806619,2024,2026-07-03,26280,Suzuki,Access,2.5056947608200453,5.694760820045558,34,2,93.33333333333333,73.33333333333333,90.0,86.5,Maintenance Review
V15,479,9,32,0.04712526096033402,0.07556925506010839,5.347623459938934,8.348028238546512,2023,2026-06-19,20041,TVS,Ntorq,1.8789144050104383,6.6805845511482245,48,3,83.33333333333334,90.0,76.66666666666667,83.67,Maintenance Review
V13,431,10,23,0.04959164733178654,0.08985942678001833,4.7325946578770015,7.731368482557347,2025,2026-07-01,22372,Bajaj,Pulsar,2.320185614849188,5.336426914153132,36,1,86.66666666666667,63.33333333333333,93.33333333333333,81.33,Maintenance Review
V01,427,7,26,0.0443559718969555,0.06340702209804475,5.442125802621655,9.350456455126164,2021,2026-06-08,22820,Yamaha,Ray ZR,1.639344262295082,6.0889929742388755,59,5,73.33333333333333,86.66666666666667,70.0,76.5,Maintenance Review
V24,416,6,22,0.04363701923076923,0.06732689879218501,5.196482866386079,8.613166564458941,2025,2026-06-20,22345,Honda,Activa,1.4423076923076923,5.288461538461538,47,1,70.0,60.0,73.33333333333333,67.83,Maintenance Review
V10,486,9,17,0.045775720164609054,0.07823947580488103,4.593384787809063,7.143404422260579,2019,2026-07-01,30162,TVS,Ntorq,1.8518518518518516,3.4979423868312756,36,7,80.0,36.666666666666664,83.33333333333334,67.83,Maintenance Review
V26,364,6,11,0.046313186813186816,0.07806623409335645,3.993761804228552,5.729130641648613,2024,2026-06-28,22871,Bajaj,Pulsar,1.6483516483516485,3.021978021978022,39,2,76.66666666666667,33.33333333333333,80.0,64.5,Maintenance Review
V12,360,3,21,0.04149444444444444,0.05408195547286077,5.325044289317924,9.126576010586694,2020,2026-06-09,31966,TVS,Ntorq,0.8333333333333334,5.833333333333333,58,6,53.333333333333336,76.66666666666667,43.333333333333336,57.83,Monitor
V27,366,4,18,0.03359562841530054,0.059924933704319026,4.811891229478063,7.74528219163053,2022,2026-07-10,14098,Bajaj,Pulsar,1.092896174863388,4.918032786885246,27,4,60.0,53.333333333333336,56.666666666666664,57.17,Monitor
V05,482,6,11,0.034987551867219906,0.06128217556701976,4.008125846904405,5.486346596551098,2025,2026-07-12,2727,TVS,Raider,1.2448132780082988,2.2821576763485476,25,1,66.66666666666666,20.0,66.66666666666666,52.67,Monitor
V08,466,4,18,0.0321244635193133,0.0600167141794214,4.4389230341062555,6.86986129839683,2021,2026-07-12,11444,Hero,Splendor,0.8583690987124464,3.862660944206009,25,5,56.666666666666664,40.0,60.0,52.5,Monitor
V14,446,3,25,0.031688340807174885,0.061263286646441345,5.07082528673323,8.609543174728842,2019,2026-07-26,5270,TVS,Raider,0.672645739910314,5.605381165919283,11,7,36.666666666666664,66.66666666666666,63.33333333333333,52.33,Monitor
V28,425,5,10,0.04257411764705882,0.05754214852458804,4.056836558560852,5.749717380929324,2023,2026-06-23,17021,Ola,S1,1.1764705882352942,2.3529411764705883,44,3,63.33333333333333,23.333333333333332,50.0,48.0,Monitor
V30,407,3,10,0.030943488943488938,0.050984680888814395,4.206802846260556,6.219033610512647,2022,2026-07-24,5127,Bajaj,Pulsar,0.7371007371007371,2.457002457002457,13,4,46.666666666666664,26.666666666666668,33.33333333333333,37.33,Monitor
V16,459,3,12,0.04257516339869281,0.0585753751870437,4.202741282815157,5.717817315097205,2023,2026-06-30,22089,TVS,Raider,0.6535947712418301,2.6143790849673203,37,3,30.0,30.0,53.333333333333336,35.83,Monitor
V29,293,2,6,0.03187372013651876,0.05670248984787889,3.8166595975180537,5.077629013484516,2021,2026-07-10,14495,TVS,Raider,0.6825938566552902,2.04778156996587,27,5,43.333333333333336,13.333333333333334,46.666666666666664,35.17,Monitor
V17,438,2,20,0.030712328767123282,0.053701006161492496,4.66211773821499,7.429182206645673,2024,2026-07-13,2639,Ola,S1,0.45662100456621,4.5662100456621,24,2,23.333333333333332,46.666666666666664,40.0,34.5,Monitor
V18,400,3,9,0.02977749999999999,0.045695603883587274,4.063526414615572,5.770377693403856,2019,2026-07-08,9158,Ola,S1,0.75,2.25,29,7,50.0,16.666666666666664,26.666666666666668,34.17,Monitor
V04,475,2,27,0.029269473684210515,0.03948838176003427,5.14458747501942,8.308737859431519,2020,2026-07-19,5533,Honda,Activa,0.42105263157894735,5.684210526315789,18,6,16.666666666666664,70.0,20.0,33.5,Monitor
